FullTaxonomicRank                                     sigma1_out.gvector.txt  sigma2_out.gvector.txt  sigma3_out.gvector.txt  sigma4_out.gvector.txt
2,1224,1236,72274,468,469,1                           0.00031213455620356801  0.00274490787607259312  0.00170078955930606373  0.00142794525470625266
2,1224,28211,204441,212791,1                          0.00336534950069518001  0.00384471838130756304  0.00154801717001571942  0.00442237197417899574
2,1224,28216,206351,481,482,1                         0.00050944932845775107  0.00045245224958915655  0.00131596448529971127  0.00013537166955905503
2,1239,91061,1385,1378,1379,1                         0.00016447395358324862  0.00021520118522140946  0.00011088692528813295  0.00022721634949129439
2,976,200643,171549,815,816,1                         0.00126274929630186050  0.00100035920282735141  0.00054195779098120976  0.00188823904209981463
2,976,200643,171549,815,816,2                         0.00359856604266239832  0.00597748761882230583  0.00035580838093142885  0.18116690435691342742
2,1224,28216,206351,481,71,72,1                       0.00255980187224561006  0.00069965690783443099  0.00207369428977993236  0.00204632420153472882
2,1224,28216,80840,75682,963,1                        0.00081283308193632719  0.00110413810436622281  0.00211376795465510414  0.00247616909141996466
2,1239,186801,186802,384638,1                         0.00000000000000000000  0.00000000000000000000  0.00018423182459782031  0.00000000000000000000
2,201174,1760,2037,2049,1654,1                        0.00033439498222065162  0.00065041977919633245  0.00027491596786259533  0.00053359252579147163
2,1117,1890424,1213,1218,1219,1                       0.00021049089959799299  0.00021287223117559348  0.00017998237186760371  0.00045455071263645847
2,1224,1236,135625,712,416916,1                       0.00047710724902782650  0.00621161835145569107  0.00183409182864353120  0.00014065830367114695
2,1239,91061,186826,1300,1301,1                       0.00066203697277555262  0.00073768288294794800  0.00041498337445454287  0.00063497162096976422
2,201174,1760,85006,1268,1663,1                       0.00012269936778350374  0.00000000000000000000  0.00000000000000000000  0.00000000000000000000
2,201174,1760,85007,1653,1716,1                       0.00000000000000000000  0.00000000000000000000  0.00000000000000000000  0.00017809518754533265
2,201174,1760,85007,1653,1716,2                       0.00135680615183002062  0.00065537143821832205  0.00267171217658030923  0.00372228025365181236
2,1224,1236,72274,468,469,40214,1                     0.00108155876076272139  0.00161854828712641757  0.00063045317693025057  0.00133406286236722348
2,1224,1236,72274,468,469,40216,1                     0.00057868271010596293  0.00098329371150128824  0.00255975357939557113  0.00164117407413853583
2,1224,28216,206351,481,482,486,1                     0.00050807119357171581  0.00528705087492402414  0.00050647764484509159  0.00050049905124814053
2,1224,28216,206351,481,482,488,1                     0.00000000000000000000  0.00024914720027368542  0.00028671217270973332  0.00017117763046741615
2,1239,91061,186826,33958,1578,1                      0.00065386709002966530  0.00364057109994794458  0.00355014082297286703  0.00866227539673498081
2,1239,91061,186826,33958,1578,2                      0.00012717489100217178  0.00070985173606668200  0.00069823891723696171  0.00170138051054398026
2,201174,1760,85006,1268,57493,1                      0.00011229136930531107  0.00000000000000000000  0.00000000000000000000  0.00000000000000000000
2,203691,203692,136,137,157,162,1                     0.00101447116092502495  0.00462075237111581771  0.00079938071892047560  0.00702170477767379286
2,976,200643,171549,171552,838,1                      0.00014462124552298335  0.00000000000000000000  0.00000000000000000000  0.00028312119321661308
2,976,200643,171549,815,816,821,1                     0.00120307250754308203  0.00702781014605970977  0.00076257297995240627  0.00176948990246414694
2,1224,1236,72274,468,497,334543,1                    0.00281767192422292145  0.00336292213078619228  0.00152652712844680210  0.00279424039402681290
2,1239,186801,186802,186803,841,1                     0.00000000000000000000  0.00670434550822473274  0.00032243209147696030  0.00053958460536592707
2,1239,91061,186826,186827,1375,1                     0.00886272366187441984  0.00187627985795054769  0.00761682915108837232  0.00690887355564841931
2,1224,28211,356,118882,234,29459,1                   0.00180654521324797034  0.00162687743062235629  0.00339462508167193199  0.00023039092032878610
2,1224,28211,356,119045,407,31998,1                   0.00249211528408315730  0.00305056594596736008  0.00172422147306733747  0.00333449751341012179
2,1239,186801,186802,186806,1730,1                    0.00358278932787566561  0.00140299577728541929  0.00120397042664315556  0.00176413274202205400
2,1239,91061,1385,90964,1279,1283,1                   0.00224556157726719857  0.00296232790751409846  0.00166823978650086690  0.00330048072051307428
2,201174,1760,2037,2049,2050,2051,1                   0.00025669899392418260  0.00039898600969072856  0.00010373704615782493  0.00023325873645471933
2,976,200643,171549,815,816,46506,1                   0.00000000000000000000  0.00011035855419154708  0.00000000000000000000  0.00000000000000000000
2,1224,1236,135625,712,2094023,738,1                  0.00024727046482572810  0.00347607462486669516  0.00037558065681844499  0.00067701787384563186
2,1224,1236,135625,712,75984,75985,1                  0.00137230671012852273  0.00183291929604269016  0.00098449808304493582  0.00189897194373891714
2,1239,186801,186802,186803,39491,1                   0.00000000000000000000  0.00000000000000000000  0.00116999468119629204  0.00000000000000000000
2,1239,186801,186802,543314,51123,1                   0.00170389204555871476  0.00245332403590176550  0.00125594895485319185  0.00232725580425276884
2,1239,91061,1385,186817,1386,1454,1                  0.00000000000000000000  0.00000000000000000000  0.00000000000000000000  0.00013127685812926842
2,1239,91061,1385,90964,1279,28035,1                  0.00434225373088303057  0.00596804924010943982  0.00309125095921138293  0.00477358493825460805
2,1239,91061,1385,90964,1279,29382,1                  0.00000000000000000000  0.00000000000000000000  0.00000000000000000000  0.00012974454674660771
2,201174,1760,85006,1268,1269,1270,1                  0.00042371085216081565  0.00019157841529826694  0.00017138254269650099  0.00020839299182939374
2,976,200643,171549,171550,239759,1                   0.00000000000000000000  0.00000000000000000000  0.00000000000000000000  0.00013811200308075893
2,976,200643,171549,171551,836,837,1                  0.00312470943381724097  0.00039257371427739856  0.00195379421884085191  0.00904521862235898144
2,976,200643,171549,815,816,291644,1                  0.00000000000000000000  0.00011646622887214935  0.00000000000000000000  0.00011013078135569747
2,976,200643,171549,815,816,310297,1                  0.00089741490628288858  0.00242496161121845105  0.00060316609500636150  0.00145671360740292688
2,976,200643,171549,815,816,310298,1                  0.00000000000000000000  0.00000000000000000000  0.00020595514683202750  0.00024310154899962379
2,976,200643,171549,815,816,376805,1                  0.00037206097206033822  0.00296001586809699179  0.00000000000000000000  0.00118753598939695809
2,976,200643,171549,815,816,387090,1                  0.00175590317708937404  0.00201683519267632838  0.00114339582010716422  0.00209147123598867668
2,1224,1236,91347,1903409,53335,553,1                 0.00125614738377731988  0.00047860722495684938  0.00100911510024515191  0.00000000000000000000
2,1224,28211,204455,31989,1060,1063,1                 0.00404348573312596215  0.00143381380868190078  0.00114006252101286079  0.00162861576542561253
2,1239,186801,186802,990719,990721,1                  0.00000000000000000000  0.00000000000000000000  0.00021978147833056283  0.00000000000000000000
2,1239,91061,1385,90964,1279,283734,1                 0.00286062130726688013  0.00976986108248638296  0.00032566945711475350  0.00518517072446954663
2,1239,91061,186826,33958,1578,1598,1                 0.00041633868118181413  0.00053741096140682342  0.00030151705827959826  0.00060092847502742116
2,1239,91061,186826,33958,1578,1613,1                 0.00032585335706314721  0.00117882905760226683  0.00107995839327544695  0.00155533449389768263
2,1239,91061,186826,33958,1578,1633,1                 0.00198131237681615390  0.00245823852168230744  0.00133202199428212209  0.00256571297041123302
2,201174,1760,85004,31953,1678,1680,1                 0.00071204686632593050  0.00091624714235713361  0.00266199260649750912  0.00283892173625197585
2,201174,1760,85004,31953,1678,1683,1                 0.00471174368754753047  0.00147493571252252458  0.00079083421689578867  0.00663435531966324543
2,201174,1760,85004,31953,1678,1685,1                 0.00282600362013151029  0.00106587496654925895  0.00034574349062440369  0.00095261999094097882
2,201174,1760,85006,1268,32207,2047,1                 0.00053071577286734443  0.00065885156260190300  0.00036060827640866065  0.00071548898056333021
2,201174,1760,85007,1653,1716,38284,1                 0.00122863468531904093  0.00107897768935791935  0.00021881088117311611  0.00131658770619329568
2,201174,1760,85009,31957,1743,1744,1                 0.07206852987268701937  0.00262825431397996300  0.00043211042375605350  0.03695186881182689120
2,976,117743,200644,49546,1016,1017,1                 0.00267306405358525345  0.00314085496469303060  0.00176341777914277741  0.00320697811258400522
2,976,117743,200644,49546,1016,1018,1                 0.00056920056247180168  0.00079302516801568925  0.00022011753728256290  0.00048883303087768281
2,1224,28216,206351,481,482,495,88719,1               0.00000000000000000000  0.00000000000000000000  0.00013128073026664266  0.00000000000000000000
2,1224,28216,80840,80864,80865,80866,1                0.01000821719742865489  0.00052808323125630704  0.00086755683126110802  0.00075923339452859783
2,1239,186801,186802,1017280,106588,1                 0.00179582489009551121  0.00222077999034787559  0.00143123515612524870  0.00270309608019910441
2,1239,526524,526525,128827,1472649,1                 0.00000000000000000000  0.00000000000000000000  0.00014353384688745758  0.00000000000000000000
2,1239,91061,186826,33958,1578,47770,1                0.00204503425994646159  0.00194590323440416962  0.00063962160817926660  0.00218105287071135134
2,1239,91061,186826,81850,1243,33964,1                0.00106517895451339314  0.00270640661074609545  0.00107161340333681368  0.00434285717774065604
2,201174,1760,85007,1653,1716,161879,1                0.00000000000000000000  0.00017692817276295708  0.00000000000000000000  0.00012100859443026967
2,201174,1760,85007,1653,1716,169292,1                0.00000000000000000000  0.00014169626919839969  0.00000000000000000000  0.00055292021828414895
2,32066,203490,203491,203492,848,850,1                0.00031490954301174121  0.00058196356732242132  0.00087083660318471867  0.00744697105317327801
2,32066,203490,203491,203492,848,860,1                0.00000000000000000000  0.00014990511335245331  0.00000000000000000000  0.00000000000000000000
2,976,200643,171549,171551,836,28123,1                0.00122790695865011192  0.00288918555695912182  0.00123967726097299280  0.00159225337200990690
2,976,200643,171549,171552,838,28125,1                0.00492671963973403237  0.00141574209971903536  0.00129447178739265034  0.00993056474989113757
2,976,200643,171549,171552,838,28126,1                0.00000000000000000000  0.00391448494052306639  0.00234710898700193265  0.00019070081627085719
2,976,200643,171549,171552,838,28134,1                0.00039384035489801939  0.00113053025600019216  0.00054714613524913691  0.00253371246971997254
2,976,200643,171549,171552,838,28135,1                0.00078204437670442189  0.00102048073416064116  0.00086873344940749899  0.00101494015386011174
2,976,200643,171549,171552,838,28137,1                0.00186335242281303936  0.00185657553392699903  0.00122845825491660842  0.00252200393662073918
2,1224,28211,204458,76892,41275,74313,1               0.00312496162679692490  0.00344738099909952799  0.00181971904222308494  0.00545991505634042861
2,1224,28216,80840,995019,40544,40545,1               0.00229956257423185372  0.00474534712672380731  0.00066804086607105628  0.00296919262801522199
2,1239,186801,186802,186804,1257,1261,1               0.00085830980971221451  0.00132893545429846882  0.00075326438002617623  0.00200110906514247316
2,1239,91061,186826,33958,1578,181675,1               0.00281018522354695488  0.00462218511506199192  0.00220764148476018939  0.00163532972953937288
2,1239,91061,186826,33958,1578,267818,1               0.00000000000000000000  0.00012701927885008181  0.00012005831402332784  0.00030014539094237124
2,976,200643,171549,171552,838,165179,1               0.00120648405505052819  0.01005371052050230362  0.00028759393405359906  0.00193947706683713277
2,976,200643,171549,171552,838,189722,1               0.00997044077323785971  0.00061453138154316182  0.00061521951464120136  0.00595462103311998669
2,976,200643,171549,171552,838,228604,1               0.00208291766672867806  0.00251005930214027672  0.00146995170965567856  0.00271018566171952191
2,976,200643,171549,171552,838,282402,1               0.00147192711577473656  0.00172367476464782093  0.00098316831732613838  0.00230250723556041786
2,976,200643,171549,171552,838,386414,1               0.00187131752887058994  0.00190575305938820688  0.00120708709389379220  0.00234760027549062610
2,976,200643,171549,171552,838,419005,1               0.00152090994688265479  0.00187166949145150612  0.00104510042356813701  0.00208091608949631384
2,1224,68525,29547,213849,72294,194,204,1             0.00072596021132586119  0.00194224388098988204  0.00617134178046952475  0.00000000000000000000
2,1239,1737404,1737405,1570339,165779,1               0.01237859656484595172  0.01343030113728296948  0.03063356398508031652  0.01797227393553866736
2,1239,186801,186802,186803,841,166486,1              0.00263044943117141771  0.00298190264205880684  0.00238253281157521895  0.00294009623271012154
2,1239,186801,186802,186806,1730,39496,1              0.05434177852908676165  0.00875967343563283540  0.00125442963968141363  0.00000000000000000000
2,1239,186801,186802,541000,1263,46228,1              0.00000000000000000000  0.00028724700105450678  0.03553764205537122133  0.00046139784098107886
2,1239,186801,186802,541000,216851,853,1              0.00033129379151321941  0.02531074402470904427  0.00129398889710443276  0.00576826987519978184
2,1239,909932,1843489,31977,906,187326,1              0.00261974315872809337  0.00087294976841608307  0.00090368466760238894  0.00179448426945614414
2,1239,909932,909929,1843491,970,69823,1              0.01330736861535451565  0.00121580986247638300  0.00099608202538885956  0.00153901713082380375
2,201174,1760,85009,31957,1912215,1749,1              0.00021915377283973937  0.00000000000000000000  0.00000000000000000000  0.00011346739435654196
2,201174,1760,85009,31957,1912215,1751,1              0.00067290088925055446  0.00000000000000000000  0.00000000000000000000  0.00033700091186834840
2,201174,1760,85009,31957,1912216,1747,1              0.00193560588283577250  0.00223835988400370639  0.00120838990634972012  0.00337066475467747317
2,201174,84998,84999,1643824,1380,1382,1              0.00883906910211274321  0.00215836602837813168  0.00277756427018458929  0.00176886477489817006
2,976,200643,171549,2005525,375288,823,1              0.00061813417505806607  0.00028464058713260971  0.00534825942885255090  0.00019435638956598885
2,1239,186801,186802,186803,33042,33043,1             0.00016353662382067729  0.00019867403980464572  0.00015914480887553750  0.00020307105063224598
2,1239,186801,186802,186803,43996,43997,1             0.00184622836674327051  0.00721855962397830563  0.00327961722215176165  0.00575519368621216331
2,1239,186801,186802,186803,572511,1322,1             0.00000000000000000000  0.00010022835823207657  0.00000000000000000000  0.00012488885520591372
2,1239,186801,186802,541000,1263,592978,1             0.00000000000000000000  0.00000000000000000000  0.00016064441946247284  0.00000000000000000000
2,1239,909932,1843489,31977,29465,29466,1             0.00043706042736151674  0.00059943810641330051  0.00063041755501501678  0.00053117051106974677
2,1239,909932,909929,1843491,970,671224,1             0.00112319721536374469  0.00136309747681752524  0.00075923782920438817  0.00150789269220079236
2,1239,91061,1385,90964,1279,1290,145391,1            0.00252695764623165175  0.00212853361711927369  0.00201920104978031283  0.00541003889822877614
2,1239,91061,186826,33958,1578,1584,1585,1            0.00340463760776349488  0.00188417131446254881  0.00270965326894753166  0.00246037521482790511
2,201174,84998,84999,1643824,1380,82135,1             0.00454177653840338313  0.00414876017343556779  0.00284374718416566252  0.00718951342919960101
2,201174,84998,84999,84107,102106,74426,1             0.00077877277030116223  0.00000000000000000000  0.00000000000000000000  0.00000000000000000000
2,1224,68525,29547,213849,72294,194,76517,1           0.00241548772827562124  0.00138477875792098276  0.00106163763387941867  0.00257611391131469746
2,1239,186801,186802,186803,189330,39486,1            0.00000000000000000000  0.00000000000000000000  0.00056591344645832486  0.00000000000000000000
2,1239,186801,186802,186803,189330,88431,1            0.00000000000000000000  0.00015965537860983800  0.00029000934466353246  0.00018967734262938823
2,1239,186801,186802,186803,33042,410072,1            0.00126779979726431596  0.00097056434003443270  0.00164526372584334223  0.00114335164176285183
2,1239,186801,186802,186803,572511,33038,1            0.00044826895386183639  0.00051900526002523518  0.00040322360531655603  0.00061616819296024652
2,1239,186801,186802,186803,572511,40520,1            0.00000000000000000000  0.00000000000000000000  0.00025180939112965153  0.00000000000000000000
2,1239,909932,1843489,31977,39948,218538,1            0.00042223433663182291  0.04052625233161665896  0.00011225790660312479  0.00754330035342074656
2,1239,909932,1843489,31977,39948,309120,1            0.00048723668962975287  0.00057187810763290443  0.00039796292337067440  0.00067012535196859374
2,1239,909932,909929,1843491,52225,52226,1            0.05600361760725270698  0.00619218999491901622  0.00036024283308285248  0.03321111151727841104
2,1239,91061,1385,90964,1279,29385,147452,1           0.00899702214953682966  0.00106663588527999592  0.00000000000000000000  0.02794120041717024438
2,1239,91061,186826,1300,1301,671232,1328,1           0.00100680660087104245  0.00014125890998359307  0.00047722456816936500  0.00017841664649509727
2,1239,91061,186826,1300,1301,671232,1338,1           0.00000000000000000000  0.00000000000000000000  0.00000000000000000000  0.00013563610650757128
2,1239,91061,186826,81850,1243,1245,33967,1           0.00015151755316600817  0.00080864848936207628  0.00015147941735424380  0.00217423189130389160
2,201174,84998,84999,84107,102106,147206,1            0.00046461470987368781  0.00035207440151472674  0.00536820298334265699  0.00000000000000000000
2,201174,84998,84999,84107,102106,147207,1            0.00361029983857038994  0.00330837972742536456  0.00182039943940114218  0.00176771061502847992
2,976,200643,171549,171550,239759,328814,1            0.00118652694231656752  0.00177697133905500181  0.00104970314496539318  0.00207786115353993716
2,976,200643,171549,2005525,195950,28112,1            0.00000000000000000000  0.00000000000000000000  0.00000000000000000000  0.00013689757733706276
2,1224,68525,29547,213849,72293,209,104628,1          0.00000000000000000000  0.00016921323969006415  0.00000000000000000000  0.00000000000000000000
2,1239,186801,186802,186803,1506577,29361,1           0.00000000000000000000  0.00000000000000000000  0.00013702920556474837  0.00010478840992230970
2,1239,186801,186802,186803,177971,177972,1           0.00267094434602208163  0.00400675287658993850  0.00178353189392962130  0.00323995615256334745
2,1239,186801,186802,186803,207244,105841,1           0.00189551358182656060  0.00282980318181347834  0.00150673106885235191  0.00293982249107035020
2,1239,186801,186802,186803,248744,168384,1           0.00109790555428814495  0.05866974568472657303  0.00929596157118172672  0.00121851776817181359
2,1239,186801,186802,186803,265975,237576,1           0.00807540935555175476  0.00000000000000000000  0.00235752125588787497  0.00805538430206549027
2,1239,186801,186802,186806,264995,214853,1           0.00032086731739032349  0.01028432435935550337  0.11463787846038773210  0.00727433902803057308
2,1239,526524,526525,128827,118747,118748,1           0.00150718043542435148  0.00222106656711960004  0.00194295241246552119  0.00171560459797083481
2,1239,526524,526525,128827,123375,102148,1           0.00078535275294153689  0.00000000000000000000  0.00093679056699735197  0.00039503362627196246
2,32066,203490,203491,1129771,34104,34105,1           0.00189467324904221856  0.00248248122568410833  0.00176072207819147563  0.00373291221261772887
2,976,200643,171549,2005525,375288,387661,1           0.00350000314776166776  0.00567684977690551151  0.00226113785257946647  0.00541740263042213787
2,1239,1737404,1737405,1570339,150022,1260,1          0.00110265108654340582  0.00061221910867226392  0.00036820232273795182  0.00036972797868300252
2,1239,909932,909929,1843491,158846,158847,1          0.00365623904040260183  0.00225516793141380039  0.00058484222627526151  0.00226897468430141746
2,201174,1760,85004,31953,1678,28025,302911,1         0.00024245302269355450  0.01864115279571079808  0.00029678407971574675  0.00222276255255291793
2,201174,84998,1643822,1643826,84108,84109,1          0.00078463764803647403  0.00231001880447780499  0.00103585195515081579  0.00246910923897377176
2,201174,84998,84999,1643824,133925,133926,1          0.00060989486921030275  0.00085550138389849442  0.00271592438930386037  0.00057156046453454588
2,32066,203490,203491,1129771,32067,157692,1          0.00146664886488956702  0.00193742817658665134  0.00088347314842449800  0.00190684566554851775
2,32066,203490,203491,203492,848,859,143387,1         0.00000000000000000000  0.00000000000000000000  0.00010544115628129922  0.00018572816777841082
2,74201,203494,48461,1647988,239934,239935,1          0.00137299860295074654  0.00109108067753617421  0.00116140478078538333  0.00114833652606013858
2,976,1853228,1853229,563835,460073,398037,1          0.00000000000000000000  0.00000000000000000000  0.00000000000000000000  0.00016160731117554599
2,1224,68525,28221,213115,194924,35832,35833,1        0.00161245725165243186  0.00150027108874290909  0.00474304593503115434  0.00600238496978297897
