#	+	GvectorName	TotalNumberReads	NumberMappedReads	NumberUnmappedReads
#	@	GenomeIndex	GenomeName	PercentageAlignmentRate
#	*	GenomeIndex	PercentageScaledEstimation	RelativeAbundanceEstimation
+	sigma_out.gvector.txt	49503334	32270610	17232724
@	0	GCF_000146345.1_ASM14634v1_genomic.fna_directory	20.98
@	1	GCF_000940845.1_ASM94084v1_genomic.fna_directory	7.21
@	2	GCF_000155955.1_ASM15595v1_genomic.fna_directory	5.6
@	3	GCF_000153885.1_ASM15388v1_genomic.fna_directory	5.44
@	4	GCF_000307225.1_ASM30722v1_genomic.fna_directory	1.67
@	5	GCF_000208405.1_ASM20840v1_genomic.fna_directory	1.33
@	6	GCF_000146675.1_ASM14667v1_genomic.fna_directory	1.01
@	7	GCF_000018665.1_ASM1866v1_genomic.fna_directory	1
@	8	GCF_000010125.1_ASM1012v1_genomic.fna_directory	0.9
@	9	GCF_001543285.1_ASM154328v1_genomic.fna_directory	0.89
@	10	GCF_000024225.1_ASM2422v1_genomic.fna_directory	0.88
@	11	GCF_000160635.1_ASM16063v1_genomic.fna_directory	0.81
@	12	GCF_900120405.1_PRJEB18034_genomic.fna_directory	0.67
@	13	GCF_000017805.1_ASM1780v1_genomic.fna_directory	0.54
@	14	GCF_000156575.1_ASM15657v1_genomic.fna_directory	0.52
@	15	GCF_000262545.1_ASM26254v1_genomic.fna_directory	0.52
@	16	GCF_000010185.1_ASM1018v1_genomic.fna_directory	0.47
@	17	GCF_001025155.1_ASM102515v1_genomic.fna_directory	0.47
@	18	GCF_000159235.2_ASM15923v2_genomic.fna_directory	0.45
@	19	GCF_000025085.1_ASM2508v1_genomic.fna_directory	0.44
@	20	GCF_000378725.1_ASM37872v1_genomic.fna_directory	0.43
@	21	GCF_000016405.1_ASM1640v1_genomic.fna_directory	0.4
@	22	GCF_000311865.1_ASM31186v1_genomic.fna_directory	0.38
@	23	GCF_000183565.1_ASM18356v1_genomic.fna_directory	0.38
@	24	GCF_001318345.1_ASM131834v1_genomic.fna_directory	0.37
@	25	GCF_000423385.1_ASM42338v1_genomic.fna_directory	0.37
@	26	GCF_000156175.1_ASM15617v1_genomic.fna_directory	0.36
@	27	GCF_000807675.2_ASM80767v2_genomic.fna_directory	0.36
@	28	GCF_900128415.1_PRJEB15655_genomic.fna_directory	0.36
@	29	GCF_000185885.1_ASM18588v1_genomic.fna_directory	0.36
@	30	GCF_000307375.1_Para_john_CL02T12C29_V1_genomic.fna_directory	0.35
@	31	GCF_000056065.1_ASM5606v1_genomic.fna_directory	0.34
@	32	GCF_900167455.1_IMG-taxon_2582581318_annotated_assembly_genomic.fna_directory	0.34
@	33	GCF_000010505.1_ASM1050v1_genomic.fna_directory	0.31
@	34	GCF_000144605.1_ASM14460v1_genomic.fna_directory	0.31
@	35	GCF_000321025.1_ASM32102v1_genomic.fna_directory	0.3
@	36	GCF_000156535.1_ASM15653v1_genomic.fna_directory	0.3
@	37	GCF_000159095.1_ASM15909v1_genomic.fna_directory	0.29
@	38	GCF_000312505.2_Cb_9401234_genomic.fna_directory	0.29
@	39	GCF_900120165.1_PRJEB15652_genomic.fna_directory	0.29
@	40	GCF_001025175.1_ASM102517v1_genomic.fna_directory	0.28
@	41	GCF_000161935.1_ASM16193v1_genomic.fna_directory	0.28
@	42	GCF_000012305.1_ASM1230v1_genomic.fna_directory	0.28
@	43	GCF_000160115.1_ASM16011v1_genomic.fna_directory	0.27
@	44	GCF_000174755.1_ASM17475v1_genomic.fna_directory	0.27
@	45	GCF_000163775.2_Simo_muel_ATCC_29453_V2_genomic.fna_directory	0.26
@	46	GCF_000183685.1_ASM18368v1_genomic.fna_directory	0.26
@	47	GCF_000165735.1_ASM16573v1_genomic.fna_directory	0.26
@	48	GCF_000019725.1_ASM1972v1_genomic.fna_directory	0.25
@	49	GCF_000017585.1_ASM1758v1_genomic.fna_directory	0.25
@	50	GCF_001457835.1_Micromassilia_timonensis_genomic.fna_directory	0.23
@	51	GCF_000411515.1_Sutt_wads_HGA0223_V1_genomic.fna_directory	0.23
@	52	GCF_000009865.1_ASM986v1_genomic.fna_directory	0.23
@	53	GCF_000185845.1_ASM18584v1_genomic.fna_directory	0.22
@	54	GCF_000311825.1_ASM31182v1_genomic.fna_directory	0.22
@	55	GCF_000091765.1_ASM9176v1_genomic.fna_directory	0.21
@	56	GCF_000829035.1_ASM82903v1_genomic.fna_directory	0.21
@	57	GCF_000455445.1_4401737_genomic.fna_directory	0.2
@	58	GCF_000159435.1_ASM15943v1_genomic.fna_directory	0.2
@	59	GCF_000463505.1_ASM46350v1_genomic.fna_directory	0.19
@	60	GCF_000154305.1_ASM15430v1_genomic.fna_directory	0.19
@	61	GCF_000160035.2_ASM16003v2_genomic.fna_directory	0.19
@	62	GCF_000024565.1_ASM2456v1_genomic.fna_directory	0.19
@	63	GCF_000377625.1_ASM37762v1_genomic.fna_directory	0.19
@	64	GCF_000008345.1_ASM834v1_genomic.fna_directory	0.19
@	65	GCF_000157915.1_ASM15791v1_genomic.fna_directory	0.18
@	66	GCF_000007125.1_ASM712v1_genomic.fna_directory	0.18
@	67	GCF_000169255.2_ASM16925v2_genomic.fna_directory	0.18
@	68	GCF_000311745.1_ASM31174v1_genomic.fna_directory	0.17
@	69	GCF_000161975.1_ASM16197v1_genomic.fna_directory	0.17
@	70	GCF_000155875.1_ASM15587v1_genomic.fna_directory	0.17
@	71	GCF_000378745.1_ASM37874v1_genomic.fna_directory	0.17
@	72	GCF_000423445.1_ASM42344v1_genomic.fna_directory	0.16
@	73	GCF_000701705.1_ASM70170v1_genomic.fna_directory	0.16
@	74	GCF_000191065.1_ASM19106v1_genomic.fna_directory	0.16
@	75	GCF_000177375.1_ASM17737v1_genomic.fna_directory	0.15
@	76	GCF_001553115.1_ASM155311v1_genomic.fna_directory	0.15
@	77	GCF_000516535.1_ASM51653v1_genomic.fna_directory	0.15
@	78	GCF_000301055.1_Fack_igna_CCUG_37419_V1_genomic.fna_directory	0.14
@	79	GCF_002209185.1_ASM220918v1_genomic.fna_directory	0.14
@	80	GCF_000025225.2_ASM2522v1_genomic.fna_directory	0.14
@	81	GCF_000020225.1_ASM2022v1_genomic.fna_directory	0.14
@	82	GCF_000376645.1_ASM37664v1_genomic.fna_directory	0.14
@	83	GCF_000210575.1_ASM21057v1_genomic.fna_directory	0.13
@	84	GCF_000212375.1_ASM21237v1_genomic.fna_directory	0.13
@	85	GCF_001314995.1_ASM131499v1_genomic.fna_directory	0.13
@	86	GCF_900120365.1_PRJEB18026_genomic.fna_directory	0.13
@	87	GCF_000025405.2_ASM2540v1_genomic.fna_directory	0.13
@	88	GCF_000012825.1_ASM1282v1_genomic.fna_directory	0.12
@	89	GCF_000159115.1_ASM15911v1_genomic.fna_directory	0.12
@	90	GCF_000157935.1_ASM15793v1_genomic.fna_directory	0.12
@	91	GCF_001998765.1_ASM199876v1_genomic.fna_directory	0.12
@	92	GCF_000308255.2_APac2_genomic.fna_directory	0.12
@	93	GCF_000194985.1_ASM19498v1_genomic.fna_directory	0.12
@	94	GCF_000188035.1_ASM18803v3_genomic.fna_directory	0.12
@	95	GCF_000381525.1_ASM38152v1_genomic.fna_directory	0.12
@	96	GCF_000173815.1_ASM17381v1_genomic.fna_directory	0.12
@	97	GCF_000426665.1_ASM42666v1_genomic.fna_directory	0.11
@	98	GCF_000026405.1_ASM2640v1_genomic.fna_directory	0.11
@	99	GCF_001484935.1_ASM148493v1_genomic.fna_directory	0.11
@	100	GCF_000237805.1_ASM23780v1_genomic.fna_directory	0.11
@	101	GCF_000187895.1_ASM18789v1_genomic.fna_directory	0.11
@	102	GCF_900086585.1_PRJEB13931_genomic.fna_directory	0.11
@	103	GCF_000163895.2_ASM16389v2_genomic.fna_directory	0.1
@	104	GCF_000246925.1_ASM24692v2_genomic.fna_directory	0.1
@	105	GCF_000513775.1_ASM51377v1_genomic.fna_directory	0.1
@	106	GCF_000425005.1_ASM42500v1_genomic.fna_directory	0.1
@	107	GCF_900176115.1_IMG-taxon_2503982046_annotated_assembly_genomic.fna_directory	0.1
@	108	GCF_000374325.1_ASM37432v1_genomic.fna_directory	0.09
@	109	GCF_900155435.1_PRJEB18758_genomic.fna_directory	0.09
@	110	GCF_000312365.2_ASM31236v2_genomic.fna_directory	0.09
@	111	GCF_000010425.1_ASM1042v1_genomic.fna_directory	0.08
@	112	GCF_000191725.1_ASM19172v2_genomic.fna_directory	0.08
@	113	GCF_000301035.1_Fack_homi_CCUG_36813_V1_genomic.fna_directory	0.08
@	114	GCF_001308285.1_ASM130828v1_genomic.fna_directory	0.08
@	115	GCF_000169035.1_ASM16903v1_genomic.fna_directory	0.08
@	116	GCF_001040945.1_ASM104094v1_genomic.fna_directory	0.08
@	117	GCF_000162875.1_ASM16287v1_genomic.fna_directory	0.08
@	118	GCF_900155585.1_PRJEB18033_genomic.fna_directory	0.08
@	119	GCF_000613505.1_ASM61350v1_genomic.fna_directory	0.08
@	120	GCF_001543105.1_ASM154310v1_genomic.fna_directory	0.08
@	121	GCF_000385925.1_ASM38592v1_genomic.fna_directory	0.07
@	122	GCF_900142225.1_IMG-taxon_2585428174_annotated_assembly_genomic.fna_directory	0.07
@	123	GCF_000024105.1_ASM2410v1_genomic.fna_directory	0.07
@	124	GCF_000785515.1_ASM78551v1_genomic.fna_directory	0.07
@	125	GCF_900129085.1_IMG-taxon_2582581273_annotated_assembly_genomic.fna_directory	0.07
@	126	GCF_000313615.1_Velvet_assembly_of_Campylobacter_showae_CSUNSWCD_genomic.fna_directory	0.07
@	127	GCF_000162015.1_ASM16201v1_genomic.fna_directory	0.07
@	128	GCF_000373745.1_ASM37374v1_genomic.fna_directory	0.07
@	129	GCF_900130005.1_IMG-taxon_2585428078_annotated_assembly_genomic.fna_directory	0.07
@	130	GCF_000023285.1_ASM2328v1_genomic.fna_directory	0.06
@	131	GCF_900167405.1_IMG-taxon_2524614644_annotated_assembly_genomic.fna_directory	0.06
@	132	GCF_001318405.1_ASM131840v1_genomic.fna_directory	0.06
@	133	GCF_000143845.1_ASM14384v1_genomic.fna_directory	0.06
@	134	GCF_000315505.1_Veil_ratt_ACS-216-V-COL6B_V1_genomic.fna_directory	0.06
@	135	GCF_000732635.1_CloSul1.0_genomic.fna_directory	0.06
@	136	GCF_000380025.1_ASM38002v1_genomic.fna_directory	0.06
@	137	GCF_000368905.1_Acin_radi_CIP_103788_V1_genomic.fna_directory	0.06
@	138	GCF_002008345.1_ASM200834v1_genomic.fna_directory	0.06
@	139	GCF_000526735.1_ASM52673v1_genomic.fna_directory	0.06
@	140	GCF_000012845.1_ASM1284v1_genomic.fna_directory	0.06
@	141	GCF_000156035.2_ASM15603v2_genomic.fna_directory	0.06
@	142	GCF_001314245.2_ASM131424v2_genomic.fna_directory	0.05
@	143	GCF_001594265.1_ASM159426v1_genomic.fna_directory	0.05
@	144	GCF_000225345.1_ASM22534v1_genomic.fna_directory	0.05
@	145	GCF_000164695.2_ASM16469v2_genomic.fna_directory	0.05
@	146	GCF_001299475.1_Neofamilia_massiliensis_genomic.fna_directory	0.05
@	147	GCF_900112995.1_IMG-taxon_2597490368_annotated_assembly_genomic.fna_directory	0.05
@	148	GCF_002073715.1_ASM207371v1_genomic.fna_directory	0.05
@	149	GCF_000196295.1_ASM19629v1_genomic.fna_directory	0.05
@	150	GCF_001441165.1_ASM144116v1_genomic.fna_directory	0.05
@	151	GCF_900155655.1_Prevotella_ihuae_genomic.fna_directory	0.05
@	152	GCF_000308275.2_LM2_genomic.fna_directory	0.05
@	153	GCF_000156215.1_ASM15621v1_genomic.fna_directory	0.05
@	154	GCF_000154845.1_ASM15484v1_genomic.fna_directory	0.05
@	155	GCF_000023205.1_ASM2320v1_genomic.fna_directory	0.04
@	156	GCF_001593985.1_ASM159398v1_genomic.fna_directory	0.04
@	157	GCF_000016825.1_ASM1682v1_genomic.fna_directory	0.04
@	158	GCF_000185145.2_ASM18514v2_genomic.fna_directory	0.04
@	159	GCF_900091655.1_PRJEB14541_genomic.fna_directory	0.04
@	160	GCF_001405555.1_13414_6_33_genomic.fna_directory	0.04
@	161	GCF_000024945.1_ASM2494v1_genomic.fna_directory	0.04
